"카테고리","부품명","모델/규격","단가(원)","수량","합계(원)","발주처(1순위)","검색 키워드","확인 사항","발주 완료"
"센서","온습도 센서","SHT40 Grove 모듈","8000","18","144000","디바이스마트","Grove SHT40 / SHT4x","16노드 + 예비 2",""
"센서","조도 센서","BH1750 Grove 모듈","3000","18","54000","디바이스마트","Grove BH1750 / digital light","16노드 + 예비 2",""
"배선","Grove 4핀 케이블 20cm","Grove Universal 4-pin 20cm (5pcs 팩)","5000","9","45000","디바이스마트","Grove Universal 4 pin Cable 20cm 5pcs","45개 ≒ 32 + 예비 13",""
"전원","마이크로 USB 케이블","USB-A ↔ Micro-B, 1m","2000","19","38000","쿠팡","마이크로 USB 케이블 1m 데이터 통신용","Pico 2 WH 포트는 Micro USB-B / 16 + 예비 3",""
"전원","USB 5V 어댑터","5V/1A 이상, USB-A 포트","5000","18","90000","쿠팡","USB 어댑터 5V 1A 가정용","16 + 예비 2 / 멀티포트 충전기로 묶음 구매 가능",""
"케이스","PLA 필라멘트","PLA 1.75mm 1kg","20000","1","20000","쿠팡","PLA 필라멘트 1.75mm 1kg","16개 케이스에 약 200g 사용 / 학교 3D 프린터 가용 확인",""
"부자재","케이블타이·라벨·전기 절연테이프","케이블타이 100개 + 라벨 + 절연테이프","20000","1","20000","쿠팡","케이블타이 100mm + 매직박스 라벨","고정·표시·절연용",""
"서버","Raspberry Pi 4 Model B","4GB RAM","80000","1","80000","디바이스마트","Raspberry Pi 4 Model B 4GB 정품","발주 시점 가격 확인",""
"서버","microSD 카드","Sandisk High Endurance 64GB (산업용)","15000","2","30000","쿠팡","Sandisk High Endurance microSD 64GB","상시 가동용 / 예비 1 포함",""
"서버","Pi4 케이스+전원+HDMI","Argon Neo 케이스 + 공식 5V/3A 어댑터 + microHDMI 케이블","20000","1","20000","디바이스마트","라즈베리파이4 케이스 세트 공식 어댑터","발열 고려, 알루미늄 케이스 권장",""
"센서(예비)","SHT40 예비","SHT40 Grove 모듈","8000","2","16000","디바이스마트","Grove SHT40","위 18개에 포함 (예비 라인으로 분리)",""
"센서(예비)","BH1750 예비","BH1750 Grove 모듈","3000","2","6000","디바이스마트","Grove BH1750","위 18개에 포함 (예비 라인으로 분리)",""
"","","","","","","","","",""
"보유 자산","Pico 2 WH","Raspberry Pi Pico 2 WH (헤더 사전 납땜)","0","16","0","보유","-","구매 불필요","✓"
"보유 자산","Grove Shield for Pi Pico","Seeed Grove Shield for Pi Pico","0","16","0","보유","-","구매 불필요","✓"
"","","","","","","","","",""
"합계","신규 구매 (서버 포함)","-","","","약 583000","","","예산 60만원 대비 약 17000원 여유",""
"합계","보유 자산 가치","-","","","약 304000","","","Pico 2 WH 16 + Grove Shield 16",""
"합계","전체 시스템 자산 가치","-","","","약 887000","","","",""
